ShipDetections,Latitude,Longitude,Detected_length
target_075,23.2462870850422,68.6265796928613,110
target_076,23.2443707203948,68.6042419987253,50
target_077,23.2428350795786,68.6022971931961,110
target_078,22.9341158558711,70.2306045341771,160
target_079,22.9204925946871,70.367794174688,140
target_080,22.909176076498,70.3829760918655,30
target_081,22.9718941801373,70.1208405776864,30
target_082,22.9407718218315,70.1008184753162,200
target_083,23.2334371021567,68.6091190803792,40
target_084,23.2258873728002,68.60250047819,60
target_085,23.2278151081228,68.5833145170138,20
target_086,23.2267621519807,68.5832044420925,130
target_087,22.9039147500733,70.1830400365225,170
target_088,22.9009627264824,70.3144785967065,60
target_089,22.9023029721557,70.3028471236405,60
target_090,23.1776507357296,68.6298867494727,40
target_091,23.1748513188096,68.6414993138946,100
target_092,23.1765954836361,68.6292369019676,50
target_093,22.8722036041197,70.1505828225084,80
target_094,22.8887426032396,70.1042157916661,120
target_095,22.868334048136,70.2071657424011,80
target_096,22.865485681578,70.0897144036102,160
target_097,22.8964141410534,69.9774941742379,130
target_098,22.8915658495848,69.9463672235065,210
target_099,22.8482463362828,70.110150455461,80
target_100,22.8313425491697,70.0507476802316,120
target_101,22.8069465163014,70.3233096004746,120
target_102,22.8722411604381,69.9139508412694,30
target_103,22.8719815522078,69.9133034407775,30
target_104,22.8714705721865,69.9127539243076,40
target_105,23.0831428337445,68.7558751370663,100
target_106,23.1234940782395,68.4623297863538,80
target_107,22.8217731632742,70.0432519110607,150
target_108,22.8038196071282,70.0302364620918,160
target_109,22.7982351714162,70.0502118650568,190
target_110,22.823422535653,70.0308486105006,190
target_111,22.8233560113237,70.0112570221174,190
target_112,22.8111944606874,70.0019985610741,120
target_113,22.8055529679184,70.0181492026074,150
target_114,22.7990274093226,69.9877833719586,160
target_115,22.8593873252528,69.8341776398034,120
target_116,22.8418971553735,69.8072107110572,60
target_117,22.7742472011146,70.080330849136,200
target_118,22.7777769669081,70.0598424343469,130
target_119,22.7802584921145,70.0316006683679,120
target_120,22.7627673605751,70.0246559342737,220
target_121,22.7503434266159,70.0401760571129,220
target_122,22.7899348488575,70.0064806575939,90
target_123,22.7618309742054,69.9963022506379,80
target_124,22.7574432075314,69.9901891735425,190
target_125,22.7257425013204,70.2562125220866,10
target_126,22.7172906273723,70.2516220980412,30
target_127,23.0503500964696,68.3694686494695,30
target_128,23.0437463927565,68.3708080998113,80
target_129,22.7327022222182,70.0745863661768,50
target_130,22.7310881501873,70.0812404575293,40
target_131,22.7175027465813,70.0734151120316,280
target_132,22.7147276378285,70.0504875606074,210
target_133,22.7150964452135,70.0311868619405,170
target_134,22.7534681725089,69.9767758124112,150
target_135,22.7526623800081,69.9755186509441,130
target_136,22.7458493437729,70.0040001710431,220
target_137,22.7471863117525,69.9820694494896,250
target_138,22.7408237605037,69.9704933274232,50
target_139,22.7271958573262,69.9426978776793,100
target_140,22.7267995122038,69.9436071522468,50
target_141,22.7287897136317,69.9300926509878,60
target_142,22.7271105202961,69.9342555428207,40
target_143,22.7247740731203,69.9358048126784,60
target_144,22.7245668468975,69.9277835850671,90
target_145,22.7229528602687,69.9294820691268,30
target_146,22.7201302701709,69.942675378652,110
target_147,22.7705824804012,69.73242818067,50
target_148,22.699905365989,70.0231829400193,180
target_149,22.6661002626539,70.2384580836381,100
target_150,22.6570076322403,70.2337850349417,60
target_151,22.7200851161769,69.9426660503313,120
target_152,22.7229528602687,69.9294820691268,30
target_153,22.7180265994481,69.9298027683948,190
target_154,22.7135099113106,69.7482716992808,110
target_155,22.7479200831446,69.6740690630462,60
target_156,22.7393167411631,69.7184857473754,80
target_157,22.7382605927938,69.7136116600927,30
target_158,22.7293226338857,69.7017221457425,30
target_159,22.782316205111,69.4409685412653,50
target_160,22.7885338119748,69.5274145898582,20
target_161,22.7818285222499,69.4963166127088,100
target_162,22.8223615218713,69.3594460320401,30
target_163,22.8199111310268,69.3475030253091,20
target_164,22.8193528312562,69.3474891921677,60
target_165,22.7849813777796,69.5417544286488,200
target_166,22.785200268248,69.5405107022284,120
target_167,22.7834897934033,69.5486354106824,60
target_168,22.76335591935,69.5562256928485,20
target_169,22.7563885952263,69.5689750684018,50
target_170,22.7508033322996,69.5659039151347,80
target_171,22.7493473193858,69.565408844779,110
target_172,22.7419542134689,69.6668036036838,10
target_173,22.7380068074613,69.665847230122,50
target_174,22.7366778217394,69.6654266584485,30
target_175,22.7368073988192,69.6641650743792,50
target_176,22.8409839045785,69.1903087210731,20
target_177,22.8394050236429,69.195640007927,20
target_178,22.8387554836099,69.1961534902043,60
target_179,22.6220936687244,70.2051950499496,50
target_180,22.6616987837644,69.9715219178971,170
target_181,22.6527524662985,69.9565936455439,210
target_182,22.6407274984435,69.9366230205399,220
target_183,22.6811807510764,69.7577847858449,280
target_184,22.7131938754456,69.7482068372335,180
target_185,22.6812484132326,69.7574023977024,280
target_186,22.7267912852575,69.6649888751477,80
target_187,22.7260069030182,69.6649274400235,70
target_188,22.9993133610105,68.077474396775,160
target_189,22.5855318862462,70.1933006627545,70
target_190,22.6112689958794,70.0614219475655,140
target_191,22.604850043261,70.0609105598473,110
target_192,22.5970765353554,70.0551582421971,110
target_193,22.6302785761376,69.9332591178842,120
target_194,22.6315870661654,69.9217402211679,180
target_195,22.6211997811402,69.9151499284556,210
target_196,22.6201983087558,69.9031970148269,180
target_197,22.6101807063045,69.8966364395854,170
target_198,22.6632044125038,69.7335148791301,280
target_199,22.6606543143874,69.7143510962155,230
target_200,22.6759712832594,69.6656107696907,80
target_201,22.6931356890303,69.6209064898409,100
target_202,22.6822505566597,69.623757539697,60
target_203,22.6885570656127,69.5863649050766,60
target_204,22.6662952834444,69.5943304491112,40
target_205,22.6653899129655,69.5938947732212,150
target_206,22.608656407632,69.8329517697954,220
target_207,22.5895971970527,69.8316865720215,80
target_208,22.593483304258,69.8058996775524,110
target_209,22.592444264421,69.807267418889,80
target_210,22.6299120425258,69.705119754117,190
target_211,22.6533555129927,69.4345122222237,180
target_212,22.6169866309394,69.6151023118066,140
target_213,22.5673489700621,69.7607658988427,130
target_214,22.5651060702911,69.7539094466875,90
target_215,22.5594615745027,69.7616932242869,40
target_216,22.5710555926751,69.7867472785274,250
target_217,22.5594082922025,69.7074602279487,150
target_218,22.5644408995163,69.8396935662231,70
target_219,22.5627457188565,69.8471144686165,110
target_220,22.5319339091399,69.9425174463759,50
target_221,22.5215094859797,69.945822781453,90
target_222,22.5259457678893,69.8971876349363,40
target_223,22.5086821835155,69.7947960652681,70
target_224,22.501134535806,69.8405938449603,80
target_225,22.5005900676616,69.8334001535353,50
target_226,22.492382284468,69.8521256480379,10
target_227,22.49313163952,69.8442635706896,130
target_228,22.519775786767,69.8816825136283,70
target_229,22.5095306241422,69.7490348309479,90
target_230,22.560334743327,69.6708132496347,280
target_231,22.5619913072658,69.6453618813301,290
target_232,22.607418303032,69.3923466511179,190
target_233,22.643331642544,69.1427019805279,250
target_234,22.6260220621464,69.1436678673553,180
target_235,22.5401849639856,69.6261218838726,180
target_236,22.6957885052801,68.7530283033483,130
target_237,22.4712820352927,69.9098686287071,90
target_238,22.4643542555994,69.9069771849147,60
target_239,22.5085293473577,69.7033352096076,40
target_240,22.5032037043696,69.6829682989171,230
target_241,22.4883794593941,69.6792272749489,100
target_242,22.4828067700863,69.6832103065339,60
target_243,22.4782568281727,69.6956723409236,80
target_244,22.4786754791364,69.683287306759,40
target_245,22.4758324824102,69.7871262438952,60
target_246,22.4888378841656,69.8489077492339,50
target_247,22.4807161358436,69.8309198073692,50
target_248,22.4751293951754,69.833113462008,100
target_249,22.4567494962359,69.8398460500109,30
target_250,22.5041193272366,69.6619734064662,110
target_251,22.5044353046716,69.660455407582,40
target_252,22.5816264462193,69.3133179047717,210
target_253,22.6022428999921,69.1343010245839,100
target_254,22.5292268342239,69.5966190858679,200
target_255,22.432771061875,69.8202095652849,80
target_256,22.4325180172303,69.8158509220744,80
target_257,22.4576014278662,69.7959240155827,60
target_258,22.4539629224185,69.7890236948779,80
target_259,22.4433173708492,69.8033203593475,90
target_260,22.4394498241777,69.7567338079973,50
target_261,22.4544424308556,69.6666434402647,70
target_262,22.4497892478935,69.6683433899329,80
target_263,22.4439633734845,69.6666313918427,130
target_264,22.4401304594457,69.6708280176256,30
target_265,22.4383053678026,69.6750482232742,120
target_266,22.4377075689828,69.6747253701676,260
target_267,22.4359717053966,69.6652585952223,30
target_268,22.4311099337149,69.6660239774731,60
target_269,22.4254215359543,69.6693376243306,70
target_270,22.4116757978924,69.6205100405134,40
target_271,22.5361491201753,68.9483411481711,60
target_272,22.3620157940281,69.6548513107663,90
target_273,22.3943302159096,69.6046253549918,30
target_274,22.3934276017547,69.6060197224548,150
target_275,22.3905472062974,69.6132825182747,110
target_276,22.3887168334566,69.6146316211759,110
target_277,22.3776725260507,69.6067392053551,70
target_278,22.458512185177,69.2925785819411,10
target_279,22.421601165403,69.5073709212582,40
target_280,22.4215927337987,69.5074186339093,40
target_281,22.4623476540129,69.1417749032478,230
target_282,22.4520696313603,69.1425830086384,100
target_283,22.4618880421592,69.0924264130566,50
target_284,22.5232244319006,68.8655768350567,290
target_285,22.3557048805627,69.5937017967611,180
target_286,22.3516972806319,69.6104677515531,100
target_287,22.4555928830573,69.0770940017042,90
target_288,22.4534609708007,69.0815524210964,80
target_289,22.4479933530756,69.0912112146149,70
target_290,22.4471788363297,69.0921320862712,50
target_291,22.4446687192212,69.0135962757306,130
target_292,22.4363026719898,69.0042248736015,30
target_293,22.4351798768747,69.0036989937699,50
target_294,22.5539151645621,68.5319247823825,250
target_295,22.3403321476875,69.4874193937065,110
target_296,22.3281344256004,69.4387209224073,100
target_297,22.3281344256004,69.4387209224073,100
target_298,22.3369636779146,69.326771124262,130
target_299,22.3963893072165,69.2046180821189,120
target_300,22.5195915802249,68.4089626750751,120
target_301,22.5295757987452,68.3311276994474,290
target_302,22.3068543236685,69.3339425989437,80
target_303,22.3650452791447,68.9544941331583,20
target_304,22.2899669803088,69.3119752642851,220
target_305,22.2810840847477,69.2939373029116,80
target_306,22.4586690641145,68.3664965079332,120
target_307,22.3827736105225,68.5349125646212,150
target_308,22.2504235482753,68.9515472671705,160
target_309,22.2393509933113,68.9559003746862,30
target_310,22.2385053920541,68.9564681146243,30
target_311,22.2361351381343,68.9628462984063,100
target_312,22.3011947259515,68.7559834299912,260
target_313,22.324467945237,68.6574437236935,130
target_314,22.2278736551043,68.9695500728464,40
target_315,22.2197293811748,68.9750428159608,40
target_316,22.1890822728823,68.6943003389769,280
